MP_Name,Is_Former_Member,Constituency,State,Lok_Sabha,Entitlement,Released,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UnspentBalance,Flag_Overspend,Sanction_Ratio,Flag_Sanction_Over_Entitlement,Recomm_Ratio,Flag_Recomm_Over_Entitlement,Unspent_Share,Flag_Idle_Funds,Execution_Gap_Share,Flag_Execution_Gap,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
Uday Pratap Singh,False,HOSHANGABAD,,17th Lok Sabha,17.0,9.5,11.5893,14.4328,11.2894,10.5584,1.0309,0,0.6640823529411765,0,0.8489882352941177,0,0.08895274089030399,0,0.06475100536786718,0,0.474,9.5,Low,Compliant within operational parameters
Ramakant Bhargava,False,VIDISHA,,17th Lok Sabha,17.0,7.0,7.2232,7.0547,6.779,6.6058,0.6174,0,0.3987647058823529,0,0.41498235294117647,0,0.08547458190275777,0,0.025549491075379786,0,0.494,9.9,Low,Compliant within operational parameters
Ganesh Singh,False,SATNA,,17th Lok Sabha,17.0,9.5,9.7362,12.215,9.6556,9.7324,0.0038,0,0.5679764705882353,0,0.7185294117647059,0,0.00039029600870976353,0,-0.007953933468660718,0,0.525,10.5,Low,Compliant within operational parameters
Rakesh Singh,False,JABALPUR,,17th Lok Sabha,17.0,2.5,4.9357,9.1066,5.663,4.0521,0.8836,0,0.3331176470588235,0,0.5356823529411765,0,0.1790222258240979,0,0.28446053328624404,0,0.529,10.6,Low,Compliant within operational parameters
Mahendra Singh Solanky,False,DEWAS(SC),,17th Lok Sabha,17.0,9.5,10.6025,11.887,10.587,10.4187,0.1838,0,0.6227647058823529,0,0.6992352941176471,0,0.017335534072152794,0,0.015896854633040552,0,0.498,10.0,Low,Compliant within operational parameters
Rodmal Nagar,False,RAJGARH,,17th Lok Sabha,17.0,9.5,11.8655,13.6147,11.2195,10.8042,1.0613,0,0.6599705882352941,0,0.8008647058823529,0,0.08944418692849014,0,0.03701590979990198,0,0.479,9.6,Low,Compliant within operational parameters
Nand Kumar Singh Chauhan,True,KHANDWA,,17th Lok Sabha,10.0,5.0,5.1117,7.1184,4.3623,4.4623,0.6494,0,0.43623,0,0.71184,0,0.12704188430463445,0,-0.022923687045824367,0,0.514,10.3,Low,Compliant within operational parameters
Janardan Mishra,False,REWA,,17th Lok Sabha,17.0,9.5,10.3834,10.2861,10.1356,8.6052,1.7782,0,0.5962117647058823,0,0.605064705882353,0,0.17125411714852554,0,0.15099254114211297,0,0.46,9.2,Low,Compliant within operational parameters
Sandhya Ray,False,BHIND(SC),,17th Lok Sabha,17.0,9.5,12.4944,14.4852,11.6838,9.8414,2.653,0,0.6872823529411765,0,0.8520705882352941,0,0.21233512613650915,0,0.1576884232869443,0,0.479,9.6,Low,Compliant within operational parameters
Shankar Lalwani,False,INDORE,,17th Lok Sabha,17.0,9.5,9.6797,11.3527,10.0305,8.732,0.9477,0,0.5900294117647059,0,0.6678058823529412,0,0.09790592683657551,0,0.12945516175664232,0,0.452,9.0,Low,Compliant within operational parameters
Himadri Singh,False,SHAHDOL (ST),,17th Lok Sabha,17.0,9.5,9.6052,10.4577,9.2959,9.0236,0.5816,0,0.5468176470588235,0,0.6151588235294119,0,0.06055053512680631,0,0.02929248378317318,0,0.469,9.4,Low,Compliant within operational parameters
Chhatar Singh Darbar,False,DHAR(ST),,17th Lok Sabha,17.0,9.5,9.6283,10.603,9.7754,8.8303,0.798,0,0.5750235294117647,0,0.6237058823529411,0,0.08288067467777283,0,0.09668146572007284,0,0.461,9.2,Low,Compliant within operational parameters
Vishnu Dutt Sharma,False,KHAJURAHO,,17th Lok Sabha,17.0,7.0,7.2604,7.0,6.5689,5.7524,1.508,0,0.3864058823529412,0,0.4117647058823529,0,0.20770205498319652,0,0.1242978276423755,0,0.493,9.9,Low,Compliant within operational parameters
Krishna Pal Singh Yadav,False,GUNA,,17th Lok Sabha,17.0,7.0,7.3,7.3,7.3,7.3,0.0,0,0.4294117647058823,0,0.4294117647058823,0,0.0,0,0.0,0,0.522,10.4,Low,Compliant within operational parameters
Gajendra Singh Patel,False,KHARGONE(ST),,17th Lok Sabha,17.0,7.0,7.0618,7.0125,6.6772,6.2732,0.7886,0,0.3927764705882353,0,0.41250000000000003,0,0.11167124529156872,0,0.06050440304319175,0,0.486,9.7,Low,Compliant within operational parameters
Pragya Singh Thakur,False,BHOPAL,,17th Lok Sabha,17.0,9.5,9.6465,9.485,9.485,9.4566,0.1899,0,0.5579411764705882,0,0.5579411764705882,0,0.019685896439123,0,0.0029942013705850858,0,0.505,10.1,Low,Compliant within operational parameters
Riti Pathak,False,SIDHI,,17th Lok Sabha,17.0,5.0,5.1569,5.4376,5.2741,5.0293,0.1276,0,0.31024117647058824,0,0.31985882352941175,0,0.024743547480075238,0,0.04641550217098646,0,0.531,10.6,Low,Compliant within operational parameters
Dhal Singh Bisen,False,BALAGHAT,,17th Lok Sabha,17.0,12.0,15.5257,17.1738,15.0876,15.125,0.4007,0,0.8875058823529411,0,1.0102235294117647,0,0.025808820214225446,0,-0.002478856809565463,0,0.582,11.6,Low,Compliant within operational parameters
Faggan Singh Kulaste,False,MANDLA(ST),,17th Lok Sabha,17.0,9.5,9.7165,12.6339,9.4937,8.8177,0.8988,0,0.5584529411764706,0,0.7431705882352941,0,0.09250244429578552,0,0.07120511497098077,0,0.466,9.3,Low,Compliant within operational parameters
Anil Firojiya,False,UJJAIN(SC),,17th Lok Sabha,17.0,9.5,11.1394,17.3151,13.2104,10.9472,0.1922,0,0.7770823529411764,0,1.018535294117647,0,0.01725407113489057,0,0.1713195664022285,0,0.535,10.7,Low,Compliant within operational parameters
Prahlad Singh Patel,False,DAMOH,,17th Lok Sabha,17.0,9.5,11.5346,12.6717,12.1985,9.7322,1.8024,0,0.7175588235294117,0,0.7453941176470588,0,0.15626029511209752,0,0.20218059597491483,0,0.47,9.4,Low,Compliant within operational parameters
Rajbahadur Singh,False,SAGAR,,17th Lok Sabha,17.0,7.0,8.0556,7.2814,7.2756,6.5152,1.5404,0,0.4279764705882353,0,0.4283176470588235,0,0.19122101395302646,0,0.10451371708175268,0,0.488,9.8,Low,Compliant within operational parameters
Vivek Narayan Shejwalkar,False,GWALIOR,,17th Lok Sabha,17.0,9.5,9.7967,14.9064,12.8741,9.3825,0.4142,0,0.7573,0,0.8768470588235294,0,0.0422795431114559,0,0.27121119146192746,0,0.513,10.3,Low,Compliant within operational parameters
Narendra Singh Tomar,False,MORENA,,17th Lok Sabha,17.0,7.0,7.3268,10.782,7.5069,5.6265,1.7003,0,0.4415823529411765,0,0.634235294117647,0,0.23206584047606046,0,0.25048954961435477,0,0.483,9.7,Low,Compliant within operational parameters
Durga Das Uikey,False,BETUL(ST),,17th Lok Sabha,17.0,12.0,15.6572,16.1284,15.1126,13.4244,2.2328,0,0.8889764705882354,0,0.9487294117647058,0,0.14260531895868994,0,0.11170811111258155,0,0.539,10.8,Low,Compliant within operational parameters
Guman Singh Damor,False,RATLAM(ST),,17th Lok Sabha,17.0,9.5,9.5626,16.8686,13.4428,9.3381,0.2245,0,0.7907529411764705,0,0.9922705882352941,0,0.023476878673164205,0,0.3053456125212009,0,0.538,10.8,Low,Compliant within operational parameters
Virendra Kumar,False,TIKAMGARH(SC),,17th Lok Sabha,17.0,9.5,9.7742,17.8308,9.5511,7.5498,2.2244,0,0.5618294117647059,0,1.0488705882352942,0,0.22757872767080684,0,0.20953607437886732,0,0.523,10.5,Low,Compliant within operational parameters
Sudheer Gupta,False,MANDSOUR,,17th Lok Sabha,17.0,7.0,7.2328,9.02,6.6465,6.6333,0.5995,0,0.39097058823529407,0,0.5305882352941176,0,0.08288629576374296,0,0.0019860076732113796,0,0.504,10.1,Low,Compliant within operational parameters
Manoj Kishorbhai Kotak,False,MUMBAI NORTH EAST,,17th Lok Sabha,17.0,7.0,7.8985,13.1551,12.85,7.73,0.1685,0,0.7558823529411764,0,0.7738294117647059,0,0.021333164524909794,0,0.39844357976653694,0,0.537,10.7,Low,Compliant within operational parameters
Udayanraje Pratapsingh Bhonsle,False,SATARA,,17th Lok Sabha,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.345,6.9,Low,Compliant within operational parameters
Sudhakar Tukaram Shrangre,False,LATUR(SC),,17th Lok Sabha,17.0,9.5,10.4435,26.6871,16.8329,10.4264,0.0171,0,0.990170588235294,0,1.569829411764706,0,0.0016373821037008666,0,0.38059395588401285,0,0.64,12.8,Low,Compliant within operational parameters
Sunil Baburao Mendhe,False,BHANDARA-GONDIYA,,17th Lok Sabha,17.0,5.0,9.1086,17.8787,16.0148,6.5659,2.5427,0,0.9420470588235295,0,1.0516882352941175,0,0.27915376676986586,0,0.5900104902964758,1,0.596,31.9,Low,Execution delay gap (>40% sanctioned not spent)
Shrirang Appa Barne,False,MAVAL,,17th Lok Sabha,17.0,7.0,7.3793,17.2912,14.4974,6.5368,0.8425,0,0.8527882352941177,0,1.0171294117647058,0,0.1141707208000759,0,0.5491053568226026,1,0.559,31.2,Low,Execution delay gap (>40% sanctioned not spent)
Bhavana Gawali (Patil),False,YAVATMAL-WASHIM,,17th Lok Sabha,17.0,5.0,5.0587,5.1665,5.1665,4.6151,0.4436,0,0.3039117647058824,0,0.3039117647058824,0,0.08769051337300096,0,0.10672602342011035,0,0.531,10.6,Low,Compliant within operational parameters
Rajendra Dhedya Gavit,False,PALGHAR(ST),,17th Lok Sabha,19.5,9.5,10.7534,30.0756,17.8211,9.9401,0.8133,0,0.9139025641025642,0,1.5423384615384617,0,0.07563189316867225,0,0.4422285941945223,1,0.604,32.1,Low,Execution delay gap (>40% sanctioned not spent)
Syed Shri Imtiaz Jaleel,False,AURANGABAD,,17th Lok Sabha,17.0,9.5,9.7057,18.1672,14.8332,8.7434,0.9623,0,0.8725411764705883,0,1.0686588235294119,0,0.09914792338522724,0,0.4105520049618424,1,0.547,30.9,Low,Execution delay gap (>40% sanctioned not spent)
Balubhau (Alias Suresh Narayan) Dhanorkar,False,CHANDRAPUR,,17th Lok Sabha,17.0,9.5,9.647,14.532,9.2621,8.5606,1.0864,0,0.5448294117647059,0,0.8548235294117648,0,0.11261532082512699,0,0.07573876334740494,0,0.484,9.7,Low,Compliant within operational parameters
Hemant Patil,False,HINGOLI,,17th Lok Sabha,17.0,7.0,7.3023,27.17,8.8362,4.8631,2.4392,0,0.5197764705882353,0,1.5982352941176472,0,0.334031743423305,0,0.4496389850840859,1,0.628,32.6,Low,Execution delay gap (>40% sanctioned not spent)
Poonam (Mahajan) Vajendla Rao,False,MUMBAI NORTH-CENTRAL,,17th Lok Sabha,17.0,9.5,9.8539,12.997,12.3,8.38,1.4739,0,0.723529411764706,0,0.7645294117647059,0,0.14957529506083886,0,0.3186991869918699,0,0.49,9.8,Low,Compliant within operational parameters
Shriniwas Dadasaheb Patil,False,SATARA,,17th Lok Sabha,17.0,5.0,10.6456,24.3,22.2294,7.4782,3.1674,0,1.3076117647058823,1,1.4294117647058824,0,0.29753137446456757,0,0.6635896605396456,1,0.684,58.7,Medium,Works sanctioned exceed entitlement ceiling (>105%); Execution delay gap (>40% sanctioned not spent); Peer distribution outlier (Isolation Forest)
Prataprao Govindrao Patil Chikhalikar,False,NANDED,,17th Lok Sabha,17.0,7.0,7.3203,15.7871,9.0673,5.1738,2.1465,0,0.533370588235294,0,0.9286529411764706,0,0.2932256874718249,0,0.429400152195251,1,0.534,30.7,Low,Execution delay gap (>40% sanctioned not spent)
Krupal Balaji Tumane,False,RAMTEK(SC),,17th Lok Sabha,17.0,7.0,7.3989,19.3687,11.0482,7.2545,0.1444,0,0.6498941176470588,0,1.1393352941176471,0,0.019516414602170594,0,0.34337720171611663,0,0.555,11.1,Low,Compliant within operational parameters
Shrikant Eknath Shinde,False,KALYAN,,17th Lok Sabha,17.0,9.5,9.8746,11.8292,9.9622,7.1846,2.69,0,0.5860117647058823,0,0.6958352941176471,0,0.2724160978672554,0,0.278813916604766,0,0.486,9.7,Low,Compliant within operational parameters
Ramdas Chandrabhanji Tadas,False,WARDHA,,17th Lok Sabha,17.0,9.5,10.6584,27.031,12.7545,9.0448,1.6136,0,0.750264705882353,0,1.5900588235294117,0,0.15139232905501762,0,0.2908542083186326,0,0.59,11.8,Low,Compliant within operational parameters
Arvind Ganpat Sawant,False,MUMBAI SOUTH,,17th Lok Sabha,17.0,7.0,7.3137,14.625,14.165,6.2211,1.0926,0,0.833235294117647,0,0.8602941176470589,0,0.1493908691906969,0,0.5608118602188492,1,0.554,31.1,Low,Execution delay gap (>40% sanctioned not spent)
Supriya Sadanand Sule,False,BARAMATI,,17th Lok Sabha,17.0,9.5,9.6959,14.1056,13.7813,7.7748,1.9211,0,0.810664705882353,0,0.8297411764705883,0,0.19813529429965243,0,0.4358442236944265,1,0.54,30.8,Low,Execution delay gap (>40% sanctioned not spent)
Amol Ramsing Kolhe,False,SHIRUR,,17th Lok Sabha,17.0,7.0,7.5328,18.4632,13.2188,6.2298,1.303,0,0.7775764705882353,0,1.0860705882352941,0,0.1729768479184367,0,0.5287166762489787,1,0.562,31.2,Low,Execution delay gap (>40% sanctioned not spent)
Rajan Baburao Vichare,False,THANE,,17th Lok Sabha,17.0,7.0,7.3978,10.9879,10.0117,5.5703,1.8275,0,0.5889235294117646,0,0.6463470588235294,0,0.24703290167347047,0,0.4436209634727369,1,0.509,30.2,Low,Execution delay gap (>40% sanctioned not spent)
Sunil Dattatray Tatkare,False,RAIGAD,,17th Lok Sabha,17.0,7.0,10.5174,26.394,18.2447,6.8825,3.6349,0,1.0732176470588237,1,1.5525882352941176,0,0.34560823017095477,0,0.6227671597779081,1,0.656,58.1,Medium,Works sanctioned exceed entitlement ceiling (>105%); Execution delay gap (>40% sanctioned not spent); Peer distribution outlier (Isolation Forest)
Sujay Radhakrishna Vikhepatil,False,AHMEDNAGAR,,17th Lok Sabha,17.0,9.5,9.6925,12.96,11.1589,7.6514,2.0411,0,0.6564058823529412,0,0.7623529411764707,0,0.21058550425586794,0,0.3143230963625447,0,0.487,9.7,Low,Compliant within operational parameters
Rahul Ramesh Shewale,False,MUMBAI SOUTH CENTRAL,,17th Lok Sabha,17.0,7.0,7.3595,13.03,12.19,4.53,2.8295,0,0.7170588235294117,0,0.7664705882352941,0,0.3844690536041851,0,0.6283839212469237,1,0.585,31.7,Low,Execution delay gap (>40% sanctioned not spent)
Prataprao Jadhav,False,BULDHANA,,17th Lok Sabha,17.0,5.0,5.3501,16.7267,12.3062,4.9982,0.3519,0,0.7238941176470588,0,0.9839235294117648,0,0.0657744715052055,0,0.5938470039492288,1,0.571,31.4,Low,Execution delay gap (>40% sanctioned not spent)
Heena Vijaykumar Gavit,False,NANDURBAR(ST),,17th Lok Sabha,17.0,7.0,7.1529,14.6292,7.1592,6.0773,1.0756,0,0.4211294117647059,0,0.8605411764705883,0,0.15037257615792196,0,0.15112023689797743,0,0.493,9.9,Low,Compliant within operational parameters
Sanjay Shamrao Dhotre,False,AKOLA,,17th Lok Sabha,17.0,9.5,9.7496,14.2836,11.7882,9.1883,0.5613,0,0.6934235294117647,0,0.8402117647058823,0,0.05757159268072537,0,0.2205510595341104,0,0.487,9.7,Low,Compliant within operational parameters
Subhash Ramrao Bhamre,False,DHULE,,17th Lok Sabha,17.0,9.5,9.8467,14.8679,11.8788,7.3167,2.53,0,0.6987529411764706,0,0.8745823529411765,0,0.2569388729218926,0,0.38405394484291344,0,0.515,10.3,Low,Compliant within operational parameters
Sanjay Sadashivrao Mandlik,False,KOLHAPUR,,17th Lok Sabha,17.0,7.0,7.3193,15.06,16.8775,7.2846,0.0347,0,0.9927941176470589,0,0.8858823529411765,0,0.004740890522317708,0,0.5683839431195378,1,0.609,32.2,Low,Execution delay gap (>40% sanctioned not spent)
Raosaheb Patil Danve,False,JALNA,,17th Lok Sabha,17.0,5.0,5.3003,19.665,12.9518,3.8074,1.4929,0,0.7618705882352942,0,1.156764705882353,0,0.2816633020772409,0,0.706033138251054,1,0.609,32.2,Low,Execution delay gap (>40% sanctioned not spent)
Sanjay Haribhau Jadhav,False,PARBHANI,,17th Lok Sabha,17.0,7.0,7.2297,13.2715,8.1888,5.1672,2.0625,0,0.48169411764705883,0,0.7806764705882353,0,0.2852815469521557,0,0.3689917936694021,0,0.509,10.2,Low,Compliant within operational parameters
Hemant Tukaram Godse,False,NASHIK,,17th Lok Sabha,17.0,7.0,7.5834,13.0,12.2028,7.3748,0.2086,0,0.7178117647058824,0,0.7647058823529411,0,0.02750745048395179,0,0.3956469007113122,0,0.53,10.6,Low,Compliant within operational parameters
Pritam Gopinath Munde,False,BEED,,17th Lok Sabha,17.0,5.0,5.2898,8.4273,5.0786,2.5797,2.7101,0,0.29874117647058823,0,0.49572352941176473,0,0.5123256077734508,1,0.4920450517859253,1,0.618,52.4,Medium,High idle/unspent balance (>50%); Execution delay gap (>40% sanctioned not spent)
Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,False,OSMANABAD,,17th Lok Sabha,17.0,2.5,2.7151,12.5468,3.5009,1.8199,0.8952,0,0.20593529411764708,0,0.7380470588235294,0,0.3297116128319399,0,0.48016224399440144,1,0.599,32.0,Low,Execution delay gap (>40% sanctioned not spent)
Girish Bhalchandra Bapat,False,PUNE,,17th Lok Sabha,12.0,7.0,7.9814,13.1752,11.2248,7.849,0.1324,0,0.9354,0,1.0979333333333334,0,0.01658856842158017,0,0.30074477941700517,0,0.57,11.4,Low,Compliant within operational parameters
Gopal Chinayya Shetty,False,MUMBAI NORTH,,17th Lok Sabha,17.0,9.5,9.95,15.27,12.041,8.5208,1.4292,0,0.7082941176470589,0,0.898235294117647,0,0.14363819095477387,0,0.29235113362677523,0,0.487,9.7,Low,Compliant within operational parameters
Dhairyasheel Sambhajirao Mane,False,HATKANANGLE,,17th Lok Sabha,17.0,7.0,7.4774,14.35,16.8854,7.4172,0.0602,0,0.9932588235294117,0,0.8441176470588235,0,0.008050926792735441,0,0.5607329408838404,1,0.61,32.2,Low,Execution delay gap (>40% sanctioned not spent)
Ashok Mahadeorao Nete,False,GADCHIROLI-CHIMUR(ST),,17th Lok Sabha,17.0,9.5,9.86,19.6385,8.9337,7.8143,2.0457,0,0.5255117647058823,0,1.1552058823529412,0,0.20747464503042598,0,0.1253008272048535,0,0.543,10.9,Low,Compliant within operational parameters
Nitin Jairam Gadkari,False,NAGPUR,,17th Lok Sabha,17.0,7.0,7.3424,16.3802,12.4485,6.9944,0.348,0,0.7322647058823529,0,0.9635411764705881,0,0.04739594682937459,0,0.43813310840663533,1,0.538,30.8,Low,Execution delay gap (>40% sanctioned not spent)
Gajanan Chandrakant Kirtikar,False,MUMBAI NORTH WEST,,17th Lok Sabha,17.0,9.5,9.81,19.341,12.28,6.99,2.82,0,0.7223529411764705,0,1.1377058823529413,0,0.2874617737003058,0,0.4307817589576547,1,0.558,31.2,Low,Execution delay gap (>40% sanctioned not spent)
Jaisidheshwar Shivachary Mahaswamiji,False,SOLAPUR(SC),,17th Lok Sabha,17.0,5.0,5.3402,14.7568,5.5703,4.0156,1.3246,0,0.3276647058823529,0,0.8680470588235294,0,0.24804314445151865,0,0.2791052546541478,0,0.547,10.9,Low,Compliant within operational parameters
Sanjay(Kaka) Ramchandra Patil,False,SANGLI,,17th Lok Sabha,17.0,5.0,5.2437,16.2428,7.3344,4.9832,0.2605,0,0.43143529411764703,0,0.9554588235294117,0,0.049678662013463784,0,0.32057155322862124,0,0.555,11.1,Low,Compliant within operational parameters
Navneet Ravi Rana,False,AMRAVATI(SC),,17th Lok Sabha,17.0,9.5,9.7808,30.5665,11.1281,7.8119,1.9689,0,0.6545941176470588,0,1.798029411764706,0,0.20130255193849175,0,0.29800235440012224,0,0.602,12.0,Low,Compliant within operational parameters
Sadashiv Kisan Lokhande,False,SHIRDI(SC),,17th Lok Sabha,17.0,9.5,9.6612,16.73,12.5237,7.8552,1.806,0,0.7366882352941176,0,0.9841176470588235,0,0.18693330021115392,0,0.3727732219711427,0,0.52,10.4,Low,Compliant within operational parameters
Raksha Nikhil Khadse,False,RAVER,,17th Lok Sabha,17.0,7.0,7.2486,10.0614,6.7587,5.9138,1.3348,0,0.3975705882352941,0,0.5918470588235295,0,0.18414590403664155,0,0.12500924734046487,0,0.48,9.6,Low,Compliant within operational parameters
Ranjeetsinha Hindurao Naik Nimbalkar,False,MADHA,,17th Lok Sabha,17.0,7.0,7.372,17.8664,8.8741,5.5785,1.7935,0,0.5220058823529412,0,1.0509647058823528,0,0.24328540423223008,0,0.3713728716151497,0,0.537,10.7,Low,Compliant within operational parameters
Unmesh Bhaiyyasaheb Patil,False,JALGAON,,17th Lok Sabha,17.0,7.0,7.255,9.7391,8.9495,5.1779,2.0771,0,0.5264411764705883,0,0.5728882352941177,0,0.28629910406616127,0,0.4214313648807196,1,0.519,30.4,Low,Execution delay gap (>40% sanctioned not spent)
Vinayak Bhaurao Raut,False,RATNAGIRI-SINDHUDURG,,17th Lok Sabha,17.0,9.5,13.1169,33.176,18.7062,10.5407,2.5762,0,1.100364705882353,1,1.951529411764706,0,0.19640311354054693,0,0.43651302776619516,1,0.659,58.2,Medium,Works sanctioned exceed entitlement ceiling (>105%); Execution delay gap (>40% sanctioned not spent); Peer distribution outlier (Isolation Forest)
Kapil Moreshwar Patil,False,BHIWANDI,,17th Lok Sabha,17.0,9.5,9.9021,12.8187,9.2956,7.3968,2.5053,0,0.5468000000000001,0,0.7540411764705882,0,0.2530069379222589,0,0.20426868626016614,0,0.479,9.6,Low,Compliant within operational parameters
Bharti Pravin Pawar,False,DINDORI(ST),,17th Lok Sabha,17.0,7.0,7.3633,12.3,11.2931,6.05,1.3133,0,0.6643,0,0.723529411764706,0,0.17835752991186016,0,0.4642746455800445,1,0.525,30.5,Low,Execution delay gap (>40% sanctioned not spent)
Ranjan Singh Rajkumar,False,INNER MANIPUR,,17th Lok Sabha,17.0,7.0,7.1153,6.974,6.836,6.976,0.1393,0,0.4021176470588235,0,0.4102352941176471,0,0.01957753011116889,0,-0.020479812755997612,0,0.533,10.7,Low,Compliant within operational parameters
Lorho S. Pfoze,False,OUTER MANIPUR(ST),,17th Lok Sabha,17.0,9.5,9.6015,10.257,9.37,9.5528,0.0487,0,0.5511764705882353,0,0.6033529411764705,0,0.005072124147268656,0,-0.019509071504802595,0,0.521,10.4,Low,Compliant within operational parameters
Vincent H Pala,False,SHILLONG,,17th Lok Sabha,17.0,9.5,11.1356,13.635,10.635,10.47,0.6656,0,0.6255882352941177,0,0.8020588235294117,0,0.059772261934695925,0,0.015514809590973122,0,0.493,9.9,Low,Compliant within operational parameters
Agatha K. Sangma,False,TURA,,17th Lok Sabha,17.0,7.0,7.1265,6.89,6.61,6.5792,0.5473,0,0.38882352941176473,0,0.4052941176470588,0,0.07679786711569495,0,0.004659606656580962,0,0.506,10.1,Low,Compliant within operational parameters
C Lalrosanga,False,MIZORAM (ST),,17th Lok Sabha,17.0,9.5,9.5524,9.31,9.31,9.3351,0.2173,0,0.5476470588235295,0,0.5476470588235295,0,0.022748209873958376,0,-0.002696025778732559,0,0.507,10.1,Low,Compliant within operational parameters
Tokheho Yepthomi,False,NAGALAND,,17th Lok Sabha,17.0,12.0,12.0259,11.76,11.76,12.024,0.0019,0,0.691764705882353,0,0.691764705882353,0,0.00015799233321414614,0,-0.02244897959183668,0,0.542,10.8,Low,Compliant within operational parameters
Mahesh Sahoo,False,DHENKANAL,,17th Lok Sabha,17.0,9.5,13.8411,24.8654,14.0072,12.9407,0.9004,0,0.8239529411764706,0,1.4626705882352942,0,0.06505263309997038,0,0.07613941401564907,0,0.601,12.0,Low,Compliant within operational parameters
Rajashree Mallick,False,JAGATSINGHPUR(SC),,17th Lok Sabha,17.0,7.0,7.4278,6.86,6.3328,4.5954,2.8324,0,0.3725176470588235,0,0.4035294117647059,0,0.3813242144376531,0,0.27434941889843356,0,0.544,10.9,Low,Compliant within operational parameters
Bishweswar Tudu,False,MAYURBHANJ (ST),,17th Lok Sabha,17.0,9.5,9.7098,18.8585,9.31,7.0644,2.6454,0,0.5476470588235295,0,1.1093235294117647,0,0.27244639436445656,0,0.24120300751879703,0,0.545,10.9,Low,Compliant within operational parameters
Nitesh Ganga Deb,False,SAMBALPUR,,17th Lok Sabha,24.5,9.5,10.9087,14.915,10.67,8.4521,2.4566,0,0.43551020408163266,0,0.6087755102040816,0,0.22519640287110287,0,0.207863167760075,0,0.481,9.6,Low,Compliant within operational parameters
Manjulata Mandal,False,BHADRAK(SC),,17th Lok Sabha,17.0,12.0,13.3565,16.21,13.1057,11.1636,2.1929,0,0.7709235294117648,0,0.953529411764706,0,0.16418223336952045,0,0.14818742989691508,0,0.504,10.1,Low,Compliant within operational parameters
Pramila Bisoyi,False,ASKA,,17th Lok Sabha,17.0,9.5,10.3164,12.5104,10.0273,7.514,2.8024,0,0.5898411764705882,0,0.7359058823529412,0,0.27164514753208485,0,0.2506457371376143,0,0.483,9.7,Low,Compliant within operational parameters
Achyutananda Samanta,False,KANDHAMAL,,17th Lok Sabha,17.0,9.5,9.6919,11.07,8.633,8.1276,1.5643,0,0.5078235294117647,0,0.6511764705882354,0,0.1614028209123082,0,0.05854280088034286,0,0.478,9.6,Low,Compliant within operational parameters
Basanta Kumar Panda,False,KALAHANDI,,17th Lok Sabha,17.0,7.0,7.2563,7.5,6.9045,6.0523,1.204,0,0.4061470588235294,0,0.4411764705882353,0,0.16592478260270385,0,0.12342675066985298,0,0.474,9.5,Low,Compliant within operational parameters
Pinaki Misra,False,PURI,,17th Lok Sabha,17.0,7.0,7.7763,7.3722,6.8272,6.6572,1.1191,0,0.4016,0,0.43365882352941176,0,0.14391162892378123,0,0.02490039840637462,0,0.493,9.9,Low,Compliant within operational parameters
Jual Oram,False,SUNDARGARH (ST),,17th Lok Sabha,17.0,7.0,7.4438,8.3401,7.114,5.8327,1.6111,0,0.4184705882352941,0,0.4905941176470588,0,0.21643515408796582,0,0.18010964295754847,0,0.479,9.6,Low,Compliant within operational parameters
Chandra Sekhar Sahu,False,BERHAMPUR,,17th Lok Sabha,17.0,9.5,10.0591,9.7591,9.1519,7.435,2.6241,0,0.5383470588235294,0,0.5740647058823529,0,0.2608682685329701,0,0.18760038899026432,0,0.475,9.5,Low,Compliant within operational parameters
Chandrani Murmu,False,KEONJHAR(ST),,17th Lok Sabha,17.0,7.0,7.2968,6.855,6.19,4.9937,2.3031,0,0.36411764705882355,0,0.4032352941176471,0,0.31563150970288345,0,0.19326332794830384,0,0.518,10.4,Low,Compliant within operational parameters
Ramesh Chandra Majhi,False,NABARANGPUR(ST),,17th Lok Sabha,17.0,9.5,11.0043,11.54,10.5091,9.1394,1.8649,0,0.6181823529411765,0,0.6788235294117646,0,0.16947011622729297,0,0.13033466234025748,0,0.461,9.2,Low,Compliant within operational parameters
Aparajita Sarangi,False,BHUBANESWAR,,17th Lok Sabha,17.0,9.5,9.684,16.4389,8.739,8.7,0.984,0,0.5140588235294118,0,0.9669941176470589,0,0.10161090458488228,0,0.004462753175420698,0,0.53,10.6,Low,Compliant within operational parameters
Sangeeta Kumari Singh Deo,False,BOLANGIR,,17th Lok Sabha,17.0,5.0,12.9142,24.1785,16.4585,10.0269,2.8873,0,0.9681470588235295,0,1.422264705882353,0,0.22357559895309043,0,0.3907768022602303,0,0.597,11.9,Low,Compliant within operational parameters
Pratap Chandra Sarangi,False,BALASORE,,17th Lok Sabha,17.0,7.0,7.2664,13.8288,7.0722,4.4597,2.8067,0,0.4160117647058823,0,0.8134588235294117,0,0.3862572938456457,0,0.369404145810356,0,0.556,11.1,Low,Compliant within operational parameters
