MP_Name,Is_Former_Member,Constituency,State,Lok_Sabha,Entitlement,Released,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UnspentBalance,Flag_Overspend,Sanction_Ratio,Flag_Sanction_Over_Entitlement,Recomm_Ratio,Flag_Recomm_Over_Entitlement,Unspent_Share,Flag_Idle_Funds,Execution_Gap_Share,Flag_Execution_Gap,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
Mitesh Rameshbhai Bakabhai Patel,False,ANAND,,17th Lok Sabha,17.0,9.5,11.1329,17.5274,12.8222,9.2323,1.9006,0,0.7542470588235295,0,1.0310235294117647,0,0.17071921961034414,0,0.27997535524324996,0,0.516,10.3,Low,Compliant within operational parameters
Amit Anil Chandra Shah,False,GANDHINAGAR,,17th Lok Sabha,17.0,9.5,9.6889,7.0066,6.9957,6.144,3.5449,0,0.41151176470588235,0,0.41215294117647056,0,0.36587228684370776,0,0.12174621553239849,0,0.53,10.6,Low,Compliant within operational parameters
Jaswantsinh Sumanbhai Bhabhor,False,DAHOD(ST),,17th Lok Sabha,17.0,7.0,7.0662,6.7803,6.7803,6.6926,0.3736,0,0.39884117647058825,0,0.39884117647058825,0,0.05287141603690809,0,0.01293453092046086,0,0.502,10.0,Low,Compliant within operational parameters
Rajeshbhai Naranbhai Chudasama,False,JUNAGADH,,17th Lok Sabha,17.0,7.0,11.5876,14.7227,12.1448,9.9339,1.6537,0,0.7144,0,0.8660411764705882,0,0.14271289999654801,0,0.1820449904485871,0,0.476,9.5,Low,Compliant within operational parameters
C.R. Patil,False,NAVSARI,,17th Lok Sabha,17.0,9.5,14.8678,14.7435,14.7393,14.4224,0.4454,0,0.8670176470588236,0,0.8672647058823529,0,0.0299573575108624,0,0.021500342621427096,0,0.555,11.1,Low,Compliant within operational parameters
K.C. Patel,False,VALSAD(ST),,17th Lok Sabha,17.0,7.0,7.9963,7.6119,7.3878,7.1136,0.8827,0,0.43457647058823534,0,0.44775882352941176,0,0.11038855470655179,0,0.03711524405100306,0,0.476,9.5,Low,Compliant within operational parameters
Bharatsinhji Shankarji Dabhi,False,PATAN,,17th Lok Sabha,17.0,9.5,9.7582,13.5332,8.9767,7.7476,2.0106,0,0.5280411764705882,0,0.7960705882352942,0,0.20604209792789654,0,0.13692114028540545,0,0.473,9.5,Low,Compliant within operational parameters
Mohanbhai Kalyanji Kundariya,False,RAJKOT,,17th Lok Sabha,17.0,5.0,9.4141,12.8738,9.4295,8.5213,0.8928,0,0.5546764705882353,0,0.7572823529411764,0,0.09483646870120352,0,0.09631475688000432,0,0.466,9.3,Low,Compliant within operational parameters
Ranjanben Dhananjay Bhatt,False,VADODARA,,17th Lok Sabha,17.0,9.5,14.618,13.3697,12.9175,12.6238,1.9942,0,0.7598529411764706,0,0.7864529411764706,0,0.13642085100560952,0,0.0227365976388621,0,0.519,10.4,Low,Compliant within operational parameters
Mansukhbhai Dhanjibhai Vasava,False,BHARUCH,,17th Lok Sabha,17.0,9.5,10.1999,16.0062,10.8665,9.6265,0.5734,0,0.6392058823529412,0,0.9415411764705882,0,0.0562162374140923,0,0.11411217963465699,0,0.502,10.0,Low,Compliant within operational parameters
